id,Product Name,Featured Image,Status,Slug,Gallery Image,HSN Code,category,Has Variant,Marketer,Brand,Weight,Length,Width,Height,Form,Pack Of,Tags,Long Description,Short Description,Minimum Order Quantity,Linked Items,Meta Title,Meta Description,Meta Keywords,Type,OG Tag,Schema Markup,Created At
24,product_twelve,http://localhost:8000/api/public/product/images/1719299741630.jpg,true,product_twelve,http://localhost:8000/api/public/product/images/1719299741630.jpeg,product_twelve,7,false,13,5,5,5,5,5,Tablets,1,2,<p>product_twelve</p><p><br></p>,<p>product_twelve</p><p><br></p>,5,19,product_twelve,product_twelve,product_twelve,Product,product_twelve,product_twelve,2024-06-25T07:15:41.651Z
25,poduct_twelve,http://localhost:8000/api/public/product/images/1719394144780.jpg,true,poduct_twelve,,poduct_twelve,7,false,14,5,50,50,50,50,Syrups,55,"3, 1, 2",<p>poduct_twelve<br></p>,<p>poduct_twelve&nbsp;&nbsp;&nbsp;&nbsp;<br></p>,5,23,poduct_twelve,poduct_twelve,poduct_twelve,Product,poduct_twelve,poduct_twelve,2024-06-26T09:29:04.819Z
26,product_thirteen,http://localhost:8000/api/public/product/images/1719394635812.jpeg,true,product_thirteen,,product_thirteen,5,false,14,5,4,4,4,4,Elixer,1,"4, 5",<p>product_thirteen<br></p>,<p>product_thirteen<br></p>,2,23,product_thirteen,product_thirteen,product_thirteen,Product,product_thirteen,product_thirteen,2024-06-26T09:37:15.881Z
27,product_fourteen,http://localhost:8000/api/public/product/images/1719394716014.jpg,true,product_fourteen,"http://localhost:8000/api/public/product/images/1719394716014.jpeg, http://localhost:8000/api/public/product/images/1719394716014.jpeg",product_fourteen,5,false,14,5,4,4,4,4,Tablets,4,4,<p>product_fourteen&nbsp;<br></p>,<p>product_fourteen<br></p>,4,19,product_fourteen,product_fourteen,product_fourteen,Product,product_fourteen,product_fourteen,2024-06-26T09:38:36.056Z
28,product_fifteen,http://localhost:8000/api/public/product/images/1719394778424.jpeg,true,product_fifteen,"http://localhost:8000/api/public/product/images/1719394778424.jpeg, http://localhost:8000/api/public/product/images/1719394778424.jpeg, http://localhost:8000/api/public/product/images/1719394778424.jpeg",product_fifteen,5,true,14,5,5,5,5,5,Solutions,5,"4, 5",,,4,25,product_fourteen,product_fourteen,product_fourteen,Product,product_fourteen,product_fourteen,2024-06-26T09:39:38.454Z
29,product_sixteen,http://localhost:8000/api/public/product/images/1719394823912.jpeg,true,product_sixteen,"http://localhost:8000/api/public/product/images/1719394823914.jpeg, http://localhost:8000/api/public/product/images/1719394823914.jpeg",product_sixteen,5,true,14,5,4,4,4,4,Gels,4,,,,4,22,product_sixteen,product_sixteen,product_sixteen,Product,product_sixteen,product_sixteen,2024-06-26T09:40:23.936Z
30,poduct_seventeen,http://localhost:8000/api/public/product/images/1719394908169.jpg,true,poduct_seventeen,,poduct_seventeen,,false,12,5,55,55,55,55,Creams,53,,,,4,,,,,Product,,,2024-06-26T09:41:48.189Z
31,product_eighteen,http://localhost:8000/api/public/product/images/1719394989853.jpg,true,product_eighteen,,product_eighteen,,false,13,1,4,,,,Creams,4,,,,4,,,,,Product,,,2024-06-26T09:43:09.868Z
32,product_nineteen,http://localhost:8000/api/public/product/images/1719395077826.jpg,true,product_nineteen,,,7,false,14,5,2,,,,Gels,4,,,,0,,,,,Product,,,2024-06-26T09:44:37.869Z
33,product_twenty,http://localhost:8000/api/public/product/images/1719395583616.jpeg,true,product_twenty,,product_twenty,,false,14,5,51,,,,,4,,,,0,,,,,Product,,,2024-06-26T09:53:03.633Z
34,product_twentyOne,http://localhost:8000/api/public/product/images/1719396235843.jpeg,true,product_twentyone,,product_twentyOne,"7, 4",false,13,2,5,5,5,5,Intramuscular Injections,5,,<p>product_twentyOne<br></p>,<p>product_twentyOne<br></p>,4,30,product_twentyOne,product_twentyOne,product_twentyOne,Product,product_twentyOne,product_twentyOne,2024-06-26T10:03:55.972Z
35,product_twentyTwo,http://localhost:8000/api/public/product/images/1719896478992.jpeg,true,product_twentytwo,"http://localhost:8000/api/public/product/images/1719896478993.jpeg, http://localhost:8000/api/public/product/images/1719896478993.jpeg, http://localhost:8000/api/public/product/images/1719896478993.jpeg",product_twentyTwo,"5, 4",true,14,2,55,55,55,55,Elixer,2,,<p>product_twentyTwo<br></p>,<p>product_twentyTwo<br></p>,4,"33, 31, 29",product_twentyTwo,product_twentyTwo,product_twentyTwo,Product,product_twentyTwo,product_twentyTwo,2024-07-02T05:01:19.519Z
